month,brand,review_count,avg_rating,xhs_post_count,avg_xhs_sentiment
2021-07,Alcon,3,4.67,0,
2021-08,Alcon,15,4.6,0,
2021-09,Alcon,9,4.44,0,
2021-10,Alcon,21,4.48,0,
2021-11,Alcon,8,4.62,0,
2021-12,Alcon,17,4.71,0,
2022-01,Alcon,7,4.86,0,
2022-02,Alcon,12,4.17,0,
2022-03,Alcon,7,4.86,1,1.0
2022-04,Alcon,5,4.2,0,
2022-05,Alcon,7,4.14,0,
2022-06,Alcon,7,4.29,0,
2022-07,Alcon,21,4.1,0,
2022-08,Alcon,20,4.9,0,
2022-09,Alcon,28,3.79,1,0.0
2022-10,Alcon,12,4.08,1,1.0
2022-11,Alcon,16,4.69,0,
2022-12,Alcon,10,4.7,0,
2023-01,Alcon,16,4.44,0,
2023-02,Alcon,16,3.94,0,
2023-03,Alcon,12,3.33,1,1.0
2023-04,Alcon,9,4.22,2,0.0
2023-05,Alcon,6,5.0,1,-1.0
2023-06,Alcon,13,4.46,2,-1.0
2023-07,Alcon,11,4.82,1,1.0
2023-08,Alcon,14,4.5,0,
2023-09,Alcon,20,4.35,1,1.0
2023-10,Alcon,13,4.38,3,0.0
2023-11,Alcon,9,4.89,0,
2023-12,Alcon,11,3.82,1,0.0
2024-01,Alcon,22,4.55,1,1.0
2024-02,Alcon,8,4.0,2,0.0
2024-03,Alcon,11,4.0,2,1.0
2024-04,Alcon,8,4.75,4,0.25
2024-05,Alcon,12,4.42,3,-0.333
2024-06,Alcon,7,3.57,0,
2024-07,Alcon,12,4.25,0,
2024-08,Alcon,7,5.0,7,0.286
2024-09,Alcon,11,4.18,0,
2024-10,Alcon,5,4.6,2,0.0
2024-11,Alcon,7,4.14,4,0.0
2024-12,Alcon,5,4.0,2,0.0
2025-01,Alcon,5,4.0,4,0.25
2025-02,Alcon,7,4.0,2,0.5
2025-03,Alcon,9,3.33,0,
2025-04,Alcon,4,4.0,1,-1.0
2025-05,Alcon,5,4.4,1,1.0
2025-06,Alcon,6,4.0,4,1.0
2025-07,Alcon,21,4.48,4,1.0
2025-08,Alcon,8,3.75,3,0.0
2025-09,Alcon,12,4.5,4,-0.5
2025-10,Alcon,17,4.06,2,0.0
2025-11,Alcon,10,4.3,6,0.667
2025-12,Alcon,9,4.56,6,0.833
2026-01,Alcon,19,4.63,9,0.556
2026-02,Alcon,12,4.5,6,1.0
2026-03,Alcon,8,5.0,6,-0.167
2026-04,Alcon,10,3.2,14,0.5
2026-05,Alcon,13,3.54,7,0.857
2026-06,Alcon,3,3.0,31,0.484
2026-07,Alcon,0,,0,
2014-08,Bausch & Lomb,0,,1,1.0
2014-09,Bausch & Lomb,0,,0,
2014-10,Bausch & Lomb,0,,0,
2014-11,Bausch & Lomb,0,,0,
2014-12,Bausch & Lomb,0,,0,
2015-01,Bausch & Lomb,0,,0,
2015-02,Bausch & Lomb,0,,0,
2015-03,Bausch & Lomb,0,,0,
2015-04,Bausch & Lomb,0,,0,
